gu,Date,offense,Count
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2023-08-01,DRUNK DRIVING,7
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2023-08-01,DATA BREACH,1
CARMEN,2023-08-01,COMPUTER FRAUD,3
PANALUM,2023-08-01,PHYSICAL INJURY,5
"INDANGAN (BRGY UNDER PS 13, DCPO)",2023-08-01,UNAUTHORIZED ACCESS,3
BUDA,2023-08-01,HACKING,1
BARANGAY 11-A,2023-08-01,ILLEGAL POSSESSION OF FIREARM,4
BARANGAY 13-B,2023-08-01,ILLEGAL GAMBLING,5
SALAPAWAN,2023-08-01,PHYSICAL INJURY,4
BARANGAY 26-C,2023-08-01,PHYSICAL INJURY,7
ILANG,2023-08-01,THEFT,5
SIRIB,2023-08-01,CYBER LIBEL,2
TAMUGAN,2023-08-01,DISTURBANCE,2
BARANGAY 37-D,2023-08-01,PHYSICAL INJURY,3
BAGUIO PROPER,2023-08-01,MURDER,4
SALOY,2023-08-01,ROBBERY,4
MINTAL,2023-08-01,CYBER LIBEL,4
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2023-08-01,ONLINE SCAM,4
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2023-09-01,ILLEGAL POSSESSION OF FIREARM,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2023-09-01,DISTURBANCE,2
BAGO OSHIRO,2023-09-01,ILLEGAL POSSESSION OF FIREARM,7
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2023-09-01,THEFT,5
LASANG,2023-09-01,ILLEGAL GAMBLING,6
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2023-09-01,ILLEGAL GAMBLING,3
EDEN,2023-09-01,ILLEGAL DRUGS,7
PANALUM,2023-09-01,ROBBERY,6
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2023-09-01,UNAUTHORIZED ACCESS,4
BUHANGIN (POB.),2023-09-01,ONLINE SCAM,2
BAGUIO PROPER,2023-09-01,ILLEGAL POSSESSION OF FIREARM,6
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2023-09-01,DATA BREACH,3
"WAAN (BRGY UNDER ps 13, DCPO)",2023-09-01,CYBER LIBEL,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2023-09-01,MURDER,5
BARANGAY 14-B,2023-09-01,DISTURBANCE,3
GUMALANG,2023-09-01,COMPUTER FRAUD,4
BARANGAY 18-B,2023-09-01,ILLEGAL DRUGS,6
DALIAO,2023-09-01,UNAUTHORIZED ACCESS,3
BANTOL,2023-09-01,ROBBERY,6
MALAGOS,2023-09-01,THREATS,4
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2023-09-01,THREATS,7
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2023-09-01,ILLEGAL POSSESSION OF FIREARM,3
DALIAO,2023-09-01,PHYSICAL INJURY,5
BARANGAY 39-D (POB.),2023-09-01,RAPE,2
BARANGAY 2-A (POB.),2023-09-01,CYBER LIBEL,2
BARANGAY 22-C,2023-09-01,ILLEGAL DRUGS,5
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2023-09-01,COMPUTER FRAUD,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2023-09-01,COMPUTER FRAUD,4
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2023-09-01,ILLEGAL DRUGS,5
ALAMBRE,2023-09-01,ILLEGAL GAMBLING,4
BARANGAY 39-D (POB.),2023-09-01,THREATS,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2023-09-01,THREATS,5
TIBUNGCO,2023-09-01,CYBER LIBEL,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2023-09-01,ILLEGAL DRUGS,3
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2023-09-01,MURDER,5
BANGKAS HEIGHTS,2023-09-01,RAPE,5
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2023-09-01,HACKING,1
BANGKAS HEIGHTS,2023-09-01,RAPE,7
TUNGKALAN,2023-09-01,THREATS,5
TAMAYONG,2023-09-01,ILLEGAL POSSESSION OF FIREARM,3
SASA,2023-09-01,ROBBERY,5
PANALUM,2023-09-01,ILLEGAL DRUGS,6
BINUGAO,2023-09-01,PHYSICAL INJURY,7
FATIMA (BENOWANG),2023-09-01,HACKING,1
TACUNAN,2023-09-01,HACKING,2
SIRIB,2023-09-01,DATA BREACH,1
LACSON,2023-09-01,RAPE,5
TACUNAN,2023-09-01,ILLEGAL POSSESSION OF FIREARM,5
BINUGAO,2023-09-01,CYBER LIBEL,2
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2023-09-01,COMPUTER FRAUD,4
TACUNAN,2023-09-01,MURDER,5
CABANTIAN,2023-09-01,ONLINE SCAM,2
SALAPAWAN,2023-09-01,PHYSICAL INJURY,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2023-09-01,ILLEGAL GAMBLING,3
BARANGAY 5-A (POB.),2023-09-01,COMPUTER FRAUD,4
BARANGAY 23-C,2023-09-01,ROBBERY,4
MALABOG,2023-09-01,MURDER,7
FATIMA (BENOWANG),2023-09-01,IDENTITY THEFT,3
BUNAWAN (POB.),2023-09-01,THEFT,5
PAQUIBATO (POB.),2023-09-01,ONLINE SCAM,2
40-D BOLTON ISLA,2023-09-01,DRUNK DRIVING,5
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2023-09-01,THREATS,2
ULA,2023-09-01,COMPUTER FRAUD,1
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2023-09-01,COMPUTER FRAUD,2
LIZADA,2023-09-01,THREATS,5
74-A (MATINA CROSSING),2023-09-01,THEFT,5
BARANGAY 3-A (POB.),2023-10-01,ROBBERY,6
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,UNAUTHORIZED ACCESS,1
MALABOG,2023-10-01,DISTURBANCE,5
ALAMBRE,2023-10-01,ILLEGAL DRUGS,3
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2023-10-01,PHYSICAL INJURY,7
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,UNAUTHORIZED ACCESS,4
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,COMPUTER FRAUD,1
BARANGAY 3-A (POB.),2023-10-01,MURDER,7
TIGATTO,2023-10-01,DISTURBANCE,3
MARILOG,2023-10-01,ONLINE SCAM,3
COMMUNAL,2023-10-01,ILLEGAL POSSESSION OF FIREARM,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2023-10-01,PHYSICAL INJURY,2
TALOMO RIVER,2023-10-01,THREATS,3
BARANGAY 26-C,2023-10-01,THREATS,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2023-10-01,ILLEGAL DRUGS,5
COMMUNAL,2023-10-01,UNAUTHORIZED ACCESS,4
BAGANIHAN,2023-10-01,PHYSICAL INJURY,2
SUBASTA,2023-10-01,ONLINE SCAM,3
VICENTE HIZON SR.,2023-10-01,HACKING,1
MALABOG,2023-10-01,IDENTITY THEFT,2
"WAAN (BRGY UNDER ps 13, DCPO)",2023-10-01,IDENTITY THEFT,1
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2023-10-01,PHYSICAL INJURY,2
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2023-10-01,MURDER,5
DALIAO,2023-10-01,DATA BREACH,4
BARANGAY 38-D (OB.),2023-10-01,DATA BREACH,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2023-10-01,DATA BREACH,4
LIZADA,2023-10-01,VANDALISM,5
MAPI-ILA,2023-10-01,DRUNK DRIVING,2
BARANGAY 13-B,2023-10-01,THEFT,4
MALAGOS,2023-10-01,ILLEGAL DRUGS,6
TIGATTO,2023-10-01,ILLEGAL GAMBLING,2
74-A (MATINA CROSSING),2023-10-01,MURDER,2
TAMAYONG,2023-10-01,MURDER,7
MALABOG,2023-10-01,THEFT,2
BINUGAO,2023-10-01,PHYSICAL INJURY,7
PANALUM,2023-10-01,UNAUTHORIZED ACCESS,4
MALAGOS,2023-10-01,ONLINE SCAM,3
SALOY,2023-10-01,UNAUTHORIZED ACCESS,3
BAGANIHAN,2023-10-01,RAPE,2
ALFONSO ANGLIONGTO SR,2023-10-01,ILLEGAL POSSESSION OF FIREARM,4
MAPI-ILA,2023-10-01,COMPUTER FRAUD,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2023-10-01,THREATS,7
BARANGAY 27-C,2023-10-01,CYBER LIBEL,2
CAWAYAN,2023-10-01,ONLINE SCAM,4
PANACAN,2023-10-01,IDENTITY THEFT,4
BARANGAY 17-B,2023-10-01,UNAUTHORIZED ACCESS,1
VICENTE HIZON SR.,2023-10-01,ILLEGAL POSSESSION OF FIREARM,5
CAWAYAN,2023-10-01,ILLEGAL POSSESSION OF FIREARM,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2023-10-01,COMPUTER FRAUD,3
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,ONLINE SCAM,4
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2023-10-01,THREATS,7
BAGUIO PROPER,2023-10-01,ILLEGAL POSSESSION OF FIREARM,5
CAWAYAN,2023-10-01,ILLEGAL GAMBLING,3
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2023-10-01,RAPE,7
LACSON,2023-10-01,DRUNK DRIVING,7
BARANGAY 32-D,2023-10-01,ILLEGAL POSSESSION OF FIREARM,6
BAGO OSHIRO,2023-10-01,HACKING,3
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,ILLEGAL POSSESSION OF FIREARM,2
GUMITAN,2023-10-01,PHYSICAL INJURY,4
ALAMBRE,2023-10-01,UNAUTHORIZED ACCESS,1
BARANGAY 17-B,2023-10-01,ILLEGAL GAMBLING,5
LUBOGAN,2023-10-01,ILLEGAL DRUGS,6
BARANGAY 13-B,2023-10-01,DATA BREACH,1
CARMEN,2023-10-01,VANDALISM,7
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2023-10-01,VANDALISM,2
SAN ISIDRO,2023-10-01,IDENTITY THEFT,1
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2023-10-01,COMPUTER FRAUD,4
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2023-10-01,DRUNK DRIVING,2
ALAMBRE,2023-10-01,VANDALISM,6
CABANTIAN,2023-10-01,COMPUTER FRAUD,4
BARANGAY 37-D,2023-10-01,PHYSICAL INJURY,3
"MANDUG (BRGY UNDER PS 13, DCPO)",2023-10-01,DATA BREACH,1
SIRIB,2023-10-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 26-C,2023-10-01,COMPUTER FRAUD,1
SALOY,2023-10-01,VANDALISM,6
MABUHAY,2023-10-01,IDENTITY THEFT,4
SUAWAN (TULI),2023-10-01,THEFT,7
SALOY,2023-11-01,MURDER,4
TAMAYONG,2023-11-01,COMPUTER FRAUD,1
SALOY,2023-11-01,IDENTITY THEFT,2
MARAPANGI,2023-11-01,RAPE,4
WINES,2023-11-01,UNAUTHORIZED ACCESS,2
BAYABAS,2023-11-01,ILLEGAL GAMBLING,4
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2023-11-01,THREATS,5
TAPAK,2023-11-01,RAPE,6
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2023-11-01,THREATS,3
BARANGAY 5-A (POB.),2023-11-01,THEFT,7
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2023-11-01,ONLINE SCAM,2
BARANGAY 38-D (OB.),2023-11-01,ONLINE SCAM,3
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2023-11-01,CYBER LIBEL,1
TAMBOBONG,2023-11-01,ILLEGAL GAMBLING,3
BANGKAS HEIGHTS,2023-11-01,THREATS,4
MATINA PANGI,2023-11-01,ONLINE SCAM,2
SALAYSAY,2023-11-01,COMPUTER FRAUD,2
TAMUGAN,2023-11-01,ROBBERY,2
RIVERSIDE,2023-11-01,VANDALISM,4
BARANGAY 11-A,2023-11-01,UNAUTHORIZED ACCESS,3
GUMITAN,2023-11-01,COMPUTER FRAUD,3
TUGBOK (POB.),2023-11-01,UNAUTHORIZED ACCESS,1
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2023-11-01,PHYSICAL INJURY,4
MALAGOS,2023-11-01,DISTURBANCE,5
ULA,2023-11-01,MURDER,5
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2023-11-01,COMPUTER FRAUD,4
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2023-11-01,DRUNK DRIVING,4
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2023-11-01,RAPE,6
BARANGAY 13-B,2023-11-01,ROBBERY,7
CALINAN (POB.),2023-11-01,DATA BREACH,2
BARANGAY 27-C,2023-11-01,IDENTITY THEFT,4
PAMPANGA,2023-11-01,COMPUTER FRAUD,2
76-A BUCANA,2023-11-01,UNAUTHORIZED ACCESS,2
MAPI-ILA,2023-11-01,IDENTITY THEFT,3
TALOMO (POB.),2023-11-01,DATA BREACH,3
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2023-11-01,IDENTITY THEFT,3
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2023-11-01,UNAUTHORIZED ACCESS,1
TAMUGAN,2023-11-01,DISTURBANCE,2
BUHANGIN (POB.),2023-11-01,DATA BREACH,4
MATINA PANGI,2023-11-01,IDENTITY THEFT,4
"INDANGAN (BRGY UNDER PS 13, DCPO)",2023-11-01,MURDER,7
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2023-11-01,ONLINE SCAM,3
40-D BOLTON ISLA,2023-11-01,THREATS,7
BARANGAY 17-B,2023-11-01,MURDER,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2023-11-01,PHYSICAL INJURY,2
TUNGKALAN,2023-11-01,MURDER,3
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2023-11-01,HACKING,2
ULA,2023-11-01,DATA BREACH,2
ALAMBRE,2023-11-01,ROBBERY,7
ULA,2023-11-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 26-C,2023-11-01,CYBER LIBEL,3
"ACACIA (BRGY UNDER PS 13, DCPO)",2023-11-01,DRUNK DRIVING,3
SALAPAWAN,2023-11-01,ILLEGAL POSSESSION OF FIREARM,5
CALINAN (POB.),2023-11-01,HACKING,3
BARANGAY 3-A (POB.),2023-11-01,DRUNK DRIVING,2
SALAPAWAN,2023-11-01,CYBER LIBEL,2
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2023-11-01,ILLEGAL GAMBLING,2
SALAPAWAN,2023-11-01,VANDALISM,7
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2023-11-01,COMPUTER FRAUD,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2023-11-01,VANDALISM,7
BAYABAS,2023-11-01,IDENTITY THEFT,4
MALABOG,2023-11-01,ILLEGAL POSSESSION OF FIREARM,3
BARANGAY 26-C,2023-11-01,ONLINE SCAM,3
BANTOL,2023-11-01,DATA BREACH,1
RIVERSIDE,2023-11-01,ONLINE SCAM,4
GUMITAN,2023-11-01,ILLEGAL GAMBLING,6
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2023-11-01,ILLEGAL POSSESSION OF FIREARM,6
BARANGAY 27-C,2023-11-01,DRUNK DRIVING,7
76-A (BUCANA),2023-11-01,THREATS,7
ALAMBRE,2023-11-01,ONLINE SCAM,4
MATINA PANGI,2023-11-01,COMPUTER FRAUD,1
BAGANIHAN,2023-11-01,ONLINE SCAM,1
BARANGAY 28-C,2023-11-01,DATA BREACH,4
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2023-11-01,IDENTITY THEFT,2
BINUGAO,2023-11-01,THREATS,4
RIVERSIDE,2023-11-01,ROBBERY,2
BINUGAO,2023-11-01,THREATS,5
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2023-11-01,DATA BREACH,4
SUAWAN (TULI),2023-11-01,IDENTITY THEFT,4
EDEN,2023-11-01,DRUNK DRIVING,5
MINTAL,2023-11-01,DATA BREACH,3
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2023-11-01,ROBBERY,5
TORII (POB.),2023-11-01,CYBER LIBEL,2
BUHANGIN (POB.),2023-11-01,CYBER LIBEL,3
SUBASTA,2023-11-01,DRUNK DRIVING,7
MALAGOS,2023-11-01,ONLINE SCAM,2
MARAPANGI,2023-11-01,DRUNK DRIVING,4
BUDA,2023-11-01,DRUNK DRIVING,5
SUBASTA,2023-11-01,ILLEGAL POSSESSION OF FIREARM,5
RIVERSIDE,2023-11-01,IDENTITY THEFT,1
SIRIB,2023-11-01,RAPE,3
SANTO NINO,2023-11-01,ILLEGAL DRUGS,5
PANALUM,2023-12-01,ILLEGAL POSSESSION OF FIREARM,4
WANGAN,2023-12-01,ILLEGAL POSSESSION OF FIREARM,5
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2023-12-01,ILLEGAL DRUGS,4
MABUHAY,2023-12-01,DATA BREACH,4
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,MURDER,2
BUNAWAN (POB.),2023-12-01,ONLINE SCAM,3
SUAWAN (TULI),2023-12-01,UNAUTHORIZED ACCESS,2
EDEN,2023-12-01,ILLEGAL GAMBLING,3
PAMPANGA,2023-12-01,ROBBERY,5
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2023-12-01,ILLEGAL GAMBLING,6
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2023-12-01,ILLEGAL GAMBLING,5
BARANGAY 22-C,2023-12-01,ILLEGAL GAMBLING,2
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2023-12-01,ILLEGAL DRUGS,2
MALABOG,2023-12-01,ILLEGAL POSSESSION OF FIREARM,4
MAPI-ILA,2023-12-01,ILLEGAL DRUGS,6
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,ILLEGAL GAMBLING,3
BARANGAY 3-A (POB.),2023-12-01,ILLEGAL POSSESSION OF FIREARM,3
MABUHAY,2023-12-01,CYBER LIBEL,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,IDENTITY THEFT,1
EDEN,2023-12-01,COMPUTER FRAUD,1
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2023-12-01,DATA BREACH,1
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,IDENTITY THEFT,4
BARANGAY 13-B,2023-12-01,COMPUTER FRAUD,2
BAGUIO PROPER,2023-12-01,RAPE,2
FATIMA (BENOWANG),2023-12-01,ILLEGAL DRUGS,3
LIZADA,2023-12-01,ILLEGAL GAMBLING,7
MALABOG,2023-12-01,DISTURBANCE,6
COMMUNAL,2023-12-01,ONLINE SCAM,1
BARANGAY 14-B,2023-12-01,THEFT,3
76-A (BUCANA),2023-12-01,MURDER,2
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,DATA BREACH,4
"WAAN (BRGY UNDER ps 13, DCPO)",2023-12-01,IDENTITY THEFT,1
BARANGAY 39-D (POB.),2023-12-01,ILLEGAL DRUGS,3
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,ILLEGAL DRUGS,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2023-12-01,ILLEGAL GAMBLING,5
BARANGAY 22-C,2023-12-01,DRUNK DRIVING,5
BARANGAY 23-C,2023-12-01,PHYSICAL INJURY,6
GUMITAN,2023-12-01,DRUNK DRIVING,3
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,IDENTITY THEFT,2
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,ONLINE SCAM,2
TUNGKALAN,2023-12-01,IDENTITY THEFT,1
BUHANGIN (POB.),2023-12-01,CYBER LIBEL,3
GUMITAN,2023-12-01,COMPUTER FRAUD,3
CALINAN (POB.),2023-12-01,RAPE,4
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,THEFT,7
CARMEN,2023-12-01,MURDER,3
BARANGAY 32-D,2023-12-01,UNAUTHORIZED ACCESS,4
FATIMA (BENOWANG),2023-12-01,CYBER LIBEL,3
BARANGAY 11-A,2023-12-01,RAPE,3
PAQUIBATO (POB.),2023-12-01,COMPUTER FRAUD,3
TACUNAN,2023-12-01,ILLEGAL DRUGS,6
TUNGKALAN,2023-12-01,ILLEGAL POSSESSION OF FIREARM,4
BAGANIHAN,2023-12-01,RAPE,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,ROBBERY,7
ULA,2023-12-01,ILLEGAL DRUGS,2
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2023-12-01,RAPE,2
MAGSAYSAY,2023-12-01,ILLEGAL GAMBLING,5
BAYABAS,2023-12-01,THEFT,7
LACSON,2023-12-01,RAPE,5
LASANG,2023-12-01,ILLEGAL GAMBLING,2
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2023-12-01,VANDALISM,5
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,CYBER LIBEL,2
76-A BUCANA,2023-12-01,CYBER LIBEL,4
NEW VALENCIA,2023-12-01,UNAUTHORIZED ACCESS,3
SALUMAY,2023-12-01,IDENTITY THEFT,2
BARANGAY 5-A (POB.),2023-12-01,RAPE,5
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,ONLINE SCAM,3
BANTOL,2023-12-01,ILLEGAL POSSESSION OF FIREARM,6
TACUNAN,2023-12-01,ILLEGAL POSSESSION OF FIREARM,4
DALIAO,2023-12-01,IDENTITY THEFT,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,MURDER,2
TUNGKALAN,2023-12-01,VANDALISM,4
ALFONSO ANGLIONGTO SR,2023-12-01,IDENTITY THEFT,2
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,COMPUTER FRAUD,3
SUBASTA,2023-12-01,THEFT,7
LASANG,2023-12-01,DISTURBANCE,7
76-A BUCANA,2023-12-01,ILLEGAL DRUGS,4
NEW VALENCIA,2023-12-01,PHYSICAL INJURY,5
BANGKAS HEIGHTS,2023-12-01,ROBBERY,2
SALUMAY,2023-12-01,ILLEGAL GAMBLING,4
SAN ISIDRO,2023-12-01,CYBER LIBEL,3
SUAWAN (TULI),2023-12-01,ILLEGAL GAMBLING,6
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2023-12-01,THREATS,7
BARANGAY 37-D,2023-12-01,DATA BREACH,2
TAMAYONG,2023-12-01,CYBER LIBEL,4
LUBOGAN,2023-12-01,HACKING,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2023-12-01,THREATS,5
BANGKAS HEIGHTS,2023-12-01,RAPE,2
SALAYSAY,2024-01-01,THEFT,2
MABUHAY,2024-01-01,HACKING,1
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2024-01-01,UNAUTHORIZED ACCESS,2
SIRIB,2024-01-01,THREATS,2
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,COMPUTER FRAUD,1
TALOMO (POB.),2024-01-01,DISTURBANCE,3
BUHANGIN (POB.),2024-01-01,HACKING,1
SIRIB,2024-01-01,PHYSICAL INJURY,6
"INDANGAN (BRGY UNDER PS 13, DCPO)",2024-01-01,ILLEGAL DRUGS,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2024-01-01,DATA BREACH,3
"AQUINO (BRGY IS NOW UNDER PS 18, DCPO)",2024-01-01,RAPE,6
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,IDENTITY THEFT,3
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2024-01-01,DISTURBANCE,5
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2024-01-01,VANDALISM,4
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,DISTURBANCE,7
BARANGAY 11-A,2024-01-01,IDENTITY THEFT,1
"INDANGAN (BRGY UNDER PS 13, DCPO)",2024-01-01,THEFT,2
ALFONSO ANGLIONGTO SR,2024-01-01,DATA BREACH,4
BANTOL,2024-01-01,DATA BREACH,1
ILANG,2024-01-01,IDENTITY THEFT,1
MALAGOS,2024-01-01,UNAUTHORIZED ACCESS,1
MARILOG,2024-01-01,DATA BREACH,1
"WAAN (BRGY UNDER ps 13, DCPO)",2024-01-01,ILLEGAL GAMBLING,2
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,DISTURBANCE,5
CABANTIAN,2024-01-01,VANDALISM,5
SALUMAY,2024-01-01,IDENTITY THEFT,1
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2024-01-01,VANDALISM,7
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,ILLEGAL GAMBLING,2
CALINAN (POB.),2024-01-01,ROBBERY,6
SALAYSAY,2024-01-01,THREATS,6
VICENTE HIZON SR.,2024-01-01,ILLEGAL DRUGS,5
NEW VALENCIA,2024-01-01,DISTURBANCE,4
TIBUNGCO,2024-01-01,DRUNK DRIVING,2
74-A (MATINA CROSSING),2024-01-01,ONLINE SCAM,1
BARANGAY 14-B,2024-01-01,DISTURBANCE,7
"MANDUG (BRGY UNDER PS 13, DCPO)",2024-01-01,MURDER,4
LASANG,2024-01-01,ILLEGAL GAMBLING,2
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2024-01-01,ROBBERY,6
PAMPANGA,2024-01-01,COMPUTER FRAUD,3
ALFONSO ANGLIONGTO SR,2024-01-01,DATA BREACH,1
WANGAN,2024-01-01,RAPE,2
BARANGAY 11-A,2024-01-01,ILLEGAL DRUGS,2
DALIAO,2024-01-01,THEFT,2
SUAWAN (TULI),2024-01-01,THREATS,5
LACSON,2024-01-01,THEFT,2
PAQUIBATO (POB.),2024-01-01,HACKING,3
NEW VALENCIA,2024-01-01,MURDER,3
TUGBOK (POB.),2024-01-01,CYBER LIBEL,4
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2024-01-01,ILLEGAL GAMBLING,6
"WAAN (BRGY UNDER ps 13, DCPO)",2024-01-01,RAPE,4
LACSON,2024-01-01,IDENTITY THEFT,2
TAMUGAN,2024-01-01,MURDER,2
PANALUM,2024-01-01,COMPUTER FRAUD,1
BANGKAS HEIGHTS,2024-01-01,DATA BREACH,3
MARAPANGI,2024-01-01,CYBER LIBEL,1
TAMAYONG,2024-01-01,COMPUTER FRAUD,3
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2024-01-01,VANDALISM,4
TACUNAN,2024-01-01,ILLEGAL DRUGS,2
BAGO OSHIRO,2024-01-01,MURDER,5
TALOMO RIVER,2024-01-01,HACKING,3
